Name,ByteSize, Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Module load benches/Benching module of size (in bytes), 5756,5.379310423262883e-5,5.373448165032969e-5,5.398374995342559e-5,3.376288964737589e-7,1.0767952506395347e-7,6.871104214797896e-7
Module load benches/Benching module of size (in bytes), 10229,1.0295413978848071e-4,1.0286564249827118e-4,1.0310357163116149e-4,3.6742769584403917e-7,2.1668737442366658e-7,5.78028377953477e-7
Module load benches/Benching module of size (in bytes), 7261,6.457565245236671e-5,6.454631784393088e-5,6.462164758851023e-5,1.2084226682828576e-7,9.118205947907604e-8,1.675783158827954e-7
Module load benches/Benching module of size (in bytes), 8103,8.75561638384321e-5,8.749225351587985e-5,8.766580895813314e-5,2.864500997363213e-7,1.9461401082566488e-7,4.2655926998591726e-7
Module load benches/Benching module of size (in bytes), 7782,9.002498601285473e-5,8.97590522649616e-5,9.071043423601835e-5,1.3499893216660378e-6,7.333536761704886e-7,2.4245123789669072e-6
Module load benches/Benching module of size (in bytes), 7739,8.604633950252983e-5,8.049005494180308e-5,1.0730821130476368e-4,3.532884365822766e-5,9.613795375647266e-7,7.517268275773661e-5
Module load benches/Benching module of size (in bytes), 11942,1.3503722716072907e-4,1.343939402717543e-4,1.3627655461913556e-4,2.8798629224732764e-6,1.8786883067821683e-6,4.074264227773095e-6
Module load benches/Benching module of size (in bytes), 7115,7.444478277196973e-5,7.428563127955131e-5,7.474422853177559e-5,7.441420809702791e-7,4.56995389412925e-7,1.3053027402309543e-6
Module load benches/Benching module of size (in bytes), 16329,1.9256138048457587e-4,1.9237556450223941e-4,1.9286108299502192e-4,7.874202403435431e-7,5.16860366274156e-7,1.15773328629319e-6
Module load benches/Benching module of size (in bytes), 2736,2.0561417780832903e-5,1.9728167427221513e-5,2.2673057270252283e-5,3.8713775860453016e-6,6.414991011972085e-8,6.8341689903861455e-6
Module load benches/Benching module of size (in bytes), 4899,5.275836697621872e-5,5.2706627455014846e-5,5.283533786498263e-5,2.0518311448676086e-7,1.6688056653738842e-7,2.784196511584917e-7
Module load benches/Benching module of size (in bytes), 10329,1.1624591510304917e-4,1.1618578912735446e-4,1.1633920387657376e-4,2.4686203202846305e-7,1.7434746572676365e-7,3.4841395168192544e-7
Module load benches/Benching module of size (in bytes), 4722,4.260150756142331e-5,4.2536271368920215e-5,4.2676568671742646e-5,2.2659621123865963e-7,1.8444567263535228e-7,2.8262484895640177e-7
Module load benches/Benching module of size (in bytes), 4466,4.034858413158184e-5,4.031901248502163e-5,4.038921125897672e-5,1.1482937403134172e-7,7.680462692943997e-8,1.8257904664197801e-7
Module load benches/Benching module of size (in bytes), 14150,1.631936780487043e-4,1.6294388059797944e-4,1.6353326811172395e-4,1.0250989432296025e-6,6.876156479788725e-7,1.6627023168008975e-6
